place	year	type	number
SCDV	96	small	296
TPDV	99	small	2275
TCDV	91	small	2
SLDV	98	small	1758
PTDV	100	small	383
PCDV	103	small	568
TCDV	101	small	332
TYDV	100	insurance	7
PCDV	95	small	4162
TCDV	100	small	401
SLDV	93	small	1424
SLDV	97	small	1138
PCDV	93	small	445
TNDV	98	small	247
TCDV	98	summary	2037
TYDV	94	summary	553
CHDV	103	small	230
PTDV	98	small	530
SCDV	96	summary	241
SLDV	102	summary	204
KSDV	101	small	2408
TPDV	93	small	2647
TCDV	94	small	2411
KLDV	102	small	2064
TCDV	103	small	1091
TCDV	91	small	136
TYDV	102	small	539
TYDV	98	small	691
SCDV	103	small	45
TPDV	96	small	557
TCDV	91	small	1132
PCDV	100	small	1090
TPDV	93	small	18
CYDV	96	small	750
PCDV	101	small	943
TPDV	102	small	1557
SLDV	100	small	93
SCDV	96	small	94
MLDV	93	small	586
PCDV	93	insurance	24
TYDV	103	small	154
SCDV	93	summary	81
TCDV	93	small	3186
ILDV	98	small	140
TPDV	101	small	998
TCDV	101	small	1059
TNDV	94	small	310
TCDV	100	small	47
SLDV	102	small	1027
TCDV	100	summary	2198
SLDV	102	small	1162
TNDV	101	small	88
TYDV	99	small	815
TPDV	95	small	1263
TPDV	97	small	2525
SCDV	92	small	5
SLDV	100	small	269
PCDV	101	small	2588
CYDV	98	small	596
TPDV	100	small	2153
TPDV	96	small	512
PCDV	103	small	316
TNDV	99	small	130
TYDV	94	insurance	24
CYDV	100	small	479
TPDV	103	small	265
TYDV	100	small	1441
ULDV	91	small	23
TYDV	103	small	987
TCDV	101	small	2582
SLDV	101	small	983
CHDV	101	small	390
TNDV	101	small	324
KSDV	100	small	1753
KLDV	103	small	1465
TPDV	102	small	1044
KSDV	94	summary	4417
TNDV	92	summary	1979
TPDV	103	small	956
NTDV	95	small	1108
TCDV	102	small	402
SLDV	100	small	1356
SLDV	103	small	625
SLDV	103	small	880
TYDV	93	small	1387
KSDV	91	suit	3547
TPDV	102	small	880
TPDV	102	small	1313
TPDV	102	small	1451
TCDV	96	small	6874
ILDV	96	small	273
TYDV	92	small	345
KSDV	101	small	243
TCDV	99	small	118
TYDV	102	small	406
SCDV	102	small	440
PCDV	92	small	302
TYDV	103	insurance	178
TPDV	97	small	1802
SLDV	97	small	2096
PCDV	100	small	1723
KSDV	98	small	3060
PCDV	104	small	763
TPDV	90	small	1737
TPDV	89	small	1885
SLDV	95	small	2704
TCDV	101	small	479
SCDV	98	small	324
TCDV	92	small	754
CYDV	99	small	84
PCDV	102	small	675
TPDV	102	small	837
SCDV	97	small	252
SCDV	102	small	7
